x,y,zone,comp,age,seqs,phylo,lul_2010,lul_1980,lul_2000,lul_2015,regions,spot_comp,spot_age,spot_seqs
-102.625,27.375,30,-1.435252070426941,2.790748119354248,1.9113227128982544,2.3820676803588867,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-102.375,27.375,20,NA,2.2896034717559814,2.0115652084350586,2.3441102504730225,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Hotspot
-102.125,27.375,20,0.3989952802658081,0.635303795337677,1.6164299249649048,1.4718135595321655,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-101.875,27.375,20,1.383495807647705,0.8656827807426453,0.6177657246589661,1.0315778255462646,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,NA
-101.625,27.375,20,NA,1.0664453506469727,0.4628002941608429,1.403762698173523,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-101.375,27.375,20,NA,-0.5907494425773621,0.9312900304794312,0.5729867219924927,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-101.125,27.375,21,1.391365885734558,0.7327523827552795,0.9883352518081665,1.9385721683502197,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-100.875,27.375,20,0.6229143738746643,2.1208789348602295,0.4958318769931793,1.6304872035980225,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-100.625,27.375,20,NA,1.353097677230835,1.7178802490234375,3.11700701713562,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-100.375,27.375,20,NA,1.9029541015625,3.180863857269287,2.6648004055023193,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,Hotspot
-100.125,27.375,20,NA,4.163957118988037,2.9152865409851074,2.5210483074188232,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Hotspot
-99.875,27.375,0,NA,1.38658607006073,2.595759868621826,1.6935832500457764,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,Hotspot
-99.625,27.375,20,1.1524187326431274,2.651170253753662,2.339050769805908,1.4917786121368408,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Hotspot
-114.125,27.125,10,-2.271137237548828,1.0777645111083984,5.422613143920898,3.431257486343384,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-113.875,27.125,10,-3.2332677841186523,0.5443242192268372,5.7650465965271,3.132268190383911,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-113.625,27.125,10,-3.4514541625976562,0.5885235667228699,5.228133201599121,2.47231125831604,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-113.375,27.125,10,-3.8303964138031006,0.034222111105918884,3.2973129749298096,1.0844628810882568,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-113.125,27.125,10,-4.061705112457275,-0.5826708078384399,3.5356335639953613,1.2648398876190186,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-112.875,27.125,10,-3.8329720497131348,-1.571121335029602,3.6849119663238525,1.449912190437317,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-112.625,27.125,0,-3.8883562088012695,-2.3504042625427246,2.856285333633423,0.8209930658340454,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,Coldspot,Hotspot
-112.375,27.125,0,-4.043619155883789,-2.2838551998138428,1.4199789762496948,-0.391690194606781,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,Coldspot,NA
-112.125,27.125,0,-4.053274631500244,-0.5556700825691223,3.261842966079712,1.631869912147522,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-109.875,27.125,1,1.8950680494308472,-0.5436745285987854,-1.684666633605957,-1.2876073122024536,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-109.625,27.125,0,1.5578231811523438,-0.4878663718700409,-1.4238747358322144,0.6570026278495789,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-109.375,27.125,0,1.8090450763702393,-0.5189743638038635,0.260907918214798,1.8565698862075806,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-109.125,27.125,0,1.9347403049468994,-0.9760862588882446,0.6785606741905212,1.8386021852493286,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,NA
-108.875,27.125,10,1.7171728610992432,-0.5408180952072144,1.5208258628845215,1.105731725692749,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,NA
-108.625,27.125,10,0.6479083299636841,0.4302949011325836,2.9910550117492676,1.2436491250991821,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,Hotspot
-108.375,27.125,10,NA,-0.8570351600646973,3.2098453044891357,0.8902745842933655,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-108.125,27.125,10,NA,-0.5489696860313416,2.755617618560791,0.37485095858573914,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.875,27.125,10,NA,-0.2482808530330658,3.8485729694366455,1.29656982421875,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.625,27.125,10,1.8479427099227905,-0.390004426240921,3.0961763858795166,1.9578642845153809,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.375,27.125,10,1.2575442790985107,-0.8078911304473877,4.215209484100342,1.9915614128112793,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.125,27.125,0,1.5509295463562012,-0.7502350211143494,2.648073196411133,1.8330830335617065,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-106.875,27.125,0,NA,-0.0785282775759697,3.0402815341949463,2.3772852420806885,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-106.625,27.125,10,NA,0.8070263266563416,3.043543815612793,1.2909607887268066,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-106.375,27.125,0,NA,2.0543253421783447,1.266477346420288,0.021689526736736298,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
