"Longitude","Latitude","X","Y","Survey"
-117.25,32.75,-1.27225887589686,-0.0264262792215336,"Good"
-116.75,32.75,-2,4.55531587302282e-16,"Good"
-116.25,32.75,-1.10768144420422,-0.0414245557406639,"Good"
-115.75,32.75,-0.0723625739125046,-0.257497168673181,"Fair"
-115.25,32.75,0.444191648534317,-0.386295299027145,"Fair"
-114.75,32.75,-0.213862662691414,-0.207422596838164,"Fair"
-114.25,32.75,0.208105912683356,-0.205355224813827,"Fair"
-117.25,32.25,0.742019332149996,-0.295527966580058,"Fair"
-116.75,32.25,-0.295393421051099,-0.199753690812815,"Fair"
-116.25,32.25,-0.154295699490503,-0.176791344295638,"Fair"
-115.75,32.25,-0.299800040181139,-0.132138140579385,"Fair"
-115.25,32.25,0.282486487716455,-0.190322992282087,"Fair"
-114.75,32.25,0.427348354940253,-0.205945131658355,"Fair"
-114.25,32.25,0.402928711935724,-0.252365207785662,"Fair"
-113.75,32.25,0.260011413338065,-0.213442488755099,"Fair"
-113.25,32.25,0.758125793601144,-0.112519190579244,"Fair"
-112.75,32.25,0.228428947880546,-0.185831830829705,"Fair"
-108.25,32.25,1.11219687523405,-0.0964193852140948,"Fair"
-107.75,32.25,0.325622219799506,-0.213800620060011,"Fair"
-106.75,32.25,0.000284358420644615,-0.192904969122575,"Fair"
-116.75,31.75,-0.0805971609821432,-0.216026835829438,"Fair"
-116.25,31.75,-0.258310079500125,-0.158495785563779,"Fair"
-115.75,31.75,-0.0767114748818585,-0.204575534029472,"Fair"
-115.25,31.75,-0.134209675313753,-0.208546084111517,"Fair"
-114.75,31.75,0.689090116082756,-0.180836850251626,"Fair"
-113.75,31.75,0.553101410012178,-0.184753880746186,"Fair"
-113.25,31.75,0.416624542577991,-0.220473980251519,"Fair"
-112.75,31.75,0.714649687144835,-0.22248563222214,"Fair"
-111.75,31.75,0.672042216402477,-0.220198680735457,"Fair"
-111.25,31.75,0.689859633919914,-0.19079138516842,"Fair"
-110.75,31.75,-0.186090659640662,-0.15249309594889,"Fair"
-110.25,31.75,0.141408364853604,-0.204978233731546,"Fair"
-109.75,31.75,0.682911957476204,-0.213821564015128,"Fair"
-109.25,31.75,-0.0670999320695494,-0.219404104934462,"Fair"
-108.75,31.75,0.259271647178171,-0.196947296440641,"Fair"
-108.25,31.75,0.0585773781427138,-0.173841597062967,"Fair"
-107.75,31.75,0.410858120042952,-0.197687902469027,"Fair"
-107.25,31.75,0.723369684139256,-0.191791480373396,"Fair"
